service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9309,0,0,0,0,0,1,1,20180310,20180318
9310,0,0,0,0,0,1,1,20180409,20180422
9311,1,1,1,1,1,1,0,20180514,20180603
9312,0,0,0,0,0,1,1,20180409,20180422
8737,1,1,1,1,1,0,0,20180305,20180309
9341,1,0,0,0,0,0,1,20180311,20180319
9210,0,1,1,1,1,1,0,20180306,20180317
9340,0,0,0,0,0,0,1,20180310,20180318
9338,1,0,0,0,0,0,1,20180326,20180513
9339,1,0,0,0,0,0,1,20180326,20180513
9337,0,0,0,0,0,1,1,20180430,20180610
9342,0,0,0,0,0,1,1,20180409,20180422
9357,0,1,1,1,1,1,0,20180410,20180428
9343,0,0,0,0,0,1,1,20180526,20180527
8637,0,0,0,1,1,1,0,20180301,20180303
9368,0,0,0,0,0,1,1,20180303,20180304
8631,0,0,0,1,1,0,0,20180301,20180302
9364,1,0,0,0,0,0,1,20180611,20180702
9347,0,0,0,0,0,1,1,20180611,20180701
9366,0,0,0,0,0,1,1,20180303,20180304
9282,0,0,0,0,0,1,1,20180402,20180513
9281,1,1,1,1,1,0,0,20180301,20180715
9283,1,1,1,1,1,1,1,20180402,20180513
9305,1,1,1,1,1,0,0,20180514,20180610
9307,1,1,1,1,1,1,1,20180409,20180513
9286,0,0,0,0,0,1,1,20180319,20180513
9306,0,0,0,0,0,1,1,20180611,20180701
9315,1,1,1,1,1,1,1,20180702,20180831
9352,1,1,1,1,1,0,0,20180409,20180520
9293,1,1,1,1,1,0,0,20180716,20180810
9294,1,1,1,1,1,1,1,20180714,20180812
8705,1,1,1,1,1,0,0,20180301,20180715
9299,0,0,0,0,0,1,1,20180714,20180812
9295,0,0,0,0,0,1,1,20180714,20180812
9296,1,1,1,1,1,1,1,20180714,20180812
9297,1,1,1,1,1,1,1,20180723,20180824
9300,1,1,1,1,1,1,1,20180716,20180812
9280,1,1,1,1,1,0,1,20180430,20180520
9279,1,1,1,1,1,1,1,20180723,20180831
9276,0,0,0,0,0,1,1,20180611,20180826
9271,0,0,0,0,0,1,1,20180402,20180513
9272,1,1,1,1,1,1,1,20180301,20180831
9278,1,1,1,1,1,1,1,20180301,20180831
9275,0,0,0,0,0,1,1,20180611,20180826
9277,1,1,1,1,1,1,1,20180301,20180831
8706,1,1,1,1,1,0,0,20180301,20180831
9269,0,0,0,0,0,1,1,20180611,20180826
9267,1,1,1,1,1,1,1,20180723,20180831
8778,1,1,1,1,1,0,0,20180312,20180316
9270,1,1,1,1,1,1,1,20180611,20180831
9266,0,0,0,0,0,1,1,20180611,20180715
9321,1,1,1,1,1,1,1,20180723,20180831
9320,1,1,1,1,1,1,1,20180723,20180831
9322,1,1,1,1,1,1,1,20180723,20180831
9323,1,1,1,1,1,1,1,20180723,20180831
8609,1,1,1,1,1,0,0,20180716,20180824
9314,0,0,0,0,0,1,1,20180702,20180826
9349,1,1,1,1,1,1,0,20180402,20180422
9313,1,1,1,1,1,1,1,20180702,20180831
9316,1,1,1,1,1,1,1,20180723,20180831
9319,0,0,0,0,0,1,1,20180702,20180826
9324,1,1,1,1,1,0,0,20180301,20180318
9350,1,1,1,1,1,1,1,20180702,20180831
9351,1,1,1,1,1,0,0,20180409,20180520
9288,0,0,0,0,0,1,1,20180402,20180513
9292,0,0,0,0,0,1,0,20180402,20180513
9291,0,0,0,0,0,1,0,20180319,20180513
9289,1,1,1,1,1,1,1,20180301,20180831
9287,0,0,0,0,0,1,1,20180402,20180513
9268,1,1,1,1,1,0,0,20180409,20180427
9362,0,0,0,0,0,1,1,20180702,20180826
9124,0,1,1,1,1,0,0,20180403,20180406
9330,0,0,0,0,0,1,1,20180616,20180624
9331,0,0,0,0,0,1,0,20180616,20180623
9329,0,0,0,0,0,1,0,20180402,20180610
9327,0,0,0,0,0,1,1,20180402,20180610
9328,1,1,1,1,1,1,1,20180301,20180831
8711,0,0,0,0,0,1,1,20180303,20180826
9332,0,0,0,0,0,1,1,20180331,20180401
9335,1,1,1,1,1,1,1,20180301,20180831
9336,1,1,1,1,1,1,0,20180301,20180831
8708,0,0,0,0,0,1,0,20180303,20180708
9354,0,0,0,0,0,1,1,20180514,20180610
9353,0,0,0,0,0,1,1,20180514,20180610
9359,0,0,0,0,0,1,1,20180528,20180610
9355,0,0,0,0,0,1,1,20180514,20180610
9360,1,0,0,0,0,0,1,20180521,20180611
9094,1,1,1,1,1,0,0,20180305,20180316
9344,0,0,0,1,1,0,0,20180301,20180302
8902,0,0,0,1,1,0,0,20180301,20180302
9285,0,0,0,0,0,1,1,20180611,20180701
9284,1,1,1,1,1,1,1,20180402,20180513
9298,1,1,1,1,1,1,1,20180723,20180805
9274,1,1,1,1,1,1,1,20180723,20180831
9273,1,1,1,1,1,1,1,20180319,20180831
9304,1,1,1,1,1,0,0,20180430,20180610
9303,1,1,1,1,1,1,1,20180723,20180831
9334,0,0,0,0,0,0,1,20180304,20180610
9358,0,0,0,0,0,1,1,20180507,20180610
9318,1,1,1,1,1,0,0,20180409,20180520
9317,1,1,1,1,1,0,0,20180409,20180520
9308,1,1,1,1,1,0,0,20180305,20180715
9301,0,0,0,0,1,0,0,20180402,20180422
9302,0,0,0,0,0,1,0,20180319,20180708
9356,0,0,0,0,0,1,1,20180409,20180422
9361,0,0,0,0,0,1,1,20180702,20180826
9325,1,1,1,1,1,1,1,20180723,20180831
9326,1,1,1,1,1,1,1,20180611,20180831
9394,0,0,0,1,1,1,0,20180301,20180303
9670,1,1,1,1,1,1,1,20180301,20180831
8724,1,1,1,1,1,1,1,20180301,20180831
9669,1,1,1,1,1,1,1,20180301,20180831
9668,1,1,1,1,0,0,0,20180301,20180318
9079,1,1,1,1,1,0,0,20180301,20180309
9477,0,0,0,0,0,1,0,20180303,20180310
9085,0,0,0,0,0,1,0,20180303,20180310
9479,0,0,0,0,0,1,1,20180303,20180310
9674,1,1,1,1,1,0,0,20180301,20180415
9673,1,1,1,1,1,0,0,20180305,20180415
9675,0,1,1,1,1,1,0,20180306,20180415
9672,0,1,1,1,1,1,0,20180301,20180415
9671,0,1,1,1,1,1,0,20180301,20180415
9390,0,0,0,1,1,1,0,20180301,20180303
8956,0,0,0,0,0,1,0,20180303,20180708
9250,0,0,0,0,0,0,1,20180304,20180826
9071,1,1,1,1,1,1,0,20180301,20180831
9677,1,1,1,1,1,0,0,20180312,20180406
9679,0,1,1,1,1,1,0,20180604,20180706
9678,1,1,1,1,1,0,0,20180604,20180706
9227,1,1,1,1,1,0,0,20180416,20180427
9196,1,1,1,1,1,0,0,20180301,20180316
9566,0,1,1,1,1,1,0,20180301,20180317
9676,1,1,1,1,1,0,0,20180312,20180406
8822,0,1,1,1,1,1,0,20180313,20180317
8841,0,1,1,1,1,1,0,20180306,20180310
9392,0,0,0,0,0,1,1,20180331,20180401
6973,0,0,0,0,0,1,1,20180303,20180304
6976,0,0,0,0,0,1,1,20180310,20180318
6966,1,0,0,0,0,0,1,20180311,20180319
9391,0,0,0,0,0,0,1,20180311,20180318
8702,0,0,0,1,1,0,0,20180301,20180302
8854,1,1,1,1,1,0,0,20180301,20180323
8853,1,1,1,1,1,0,0,20180301,20180323
8851,0,1,1,1,1,1,0,20180301,20180324
8712,1,1,1,1,1,0,0,20180312,20180323
8840,1,1,1,1,1,0,0,20180305,20180309
8857,1,1,1,1,1,0,0,20180305,20180323
8842,0,1,1,1,1,1,0,20180313,20180324
8837,0,0,0,1,1,1,0,20180301,20180303
8843,1,1,1,1,1,0,0,20180305,20180309
8804,0,1,1,1,1,1,0,20180306,20180324
8856,1,1,1,1,1,0,0,20180305,20180323
8850,0,1,1,1,1,1,0,20180306,20180310
8805,0,0,0,1,1,0,0,20180301,20180302
8852,0,1,1,1,1,1,0,20180301,20180324
8847,0,1,1,1,1,1,0,20180301,20180324
8845,0,1,1,1,1,1,0,20180306,20180324
8846,0,1,1,1,1,1,0,20180301,20180324
8844,0,0,0,1,1,1,0,20180301,20180303
8858,0,0,0,0,1,0,1,20180309,20180311
8816,0,1,1,1,1,0,0,20180313,20180316
