stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8727605,"ERMONT EAUBONNE",,48.980308,2.271381,,,1,
StopArea:DUA8727658,"ERMONT HALTE",,48.990429,2.263254,,,1,
StopArea:DUA8727659,"GROS NOYER SAINT-PRIX",,48.995369,2.258509,,,1,
StopArea:DUA8727660,"SAINT-LEU LA FORET",,49.015708,2.242403,,,1,
StopArea:DUA8727662,"VAUCELLES",,49.02215,2.230226,,,1,
StopArea:DUA8727663,"TAVERNY",,49.025372,2.221795,,,1,
StopArea:DUA8727664,"BESSANCOURT",,49.035888,2.210966,,,1,
StopArea:DUA8727665,"GARE DE FREPILLON",,49.04656,2.199002,,,1,
StopArea:DUA8727666,"GARE DE MERY SUR OISE",,49.057685,2.190711,,,1,
StopArea:DUA8727667,"MERIEL",,49.077618,2.205231,,,1,
StopArea:DUA8727653,"VALMONDOIS",,49.091734,2.202459,,,1,
StopArea:DUA8727652,"L'ISLE ADAM PARMAIN",,49.114285,2.209735,,,1,
StopArea:DUA8727651,"CHAMPAGNE SUR OISE",,49.135933,2.242184,,,1,
StopArea:DUA8727646,"PERSAN BEAUMONT",,49.147934,2.279066,,,1,
StopArea:DUA8727606,"CERNAY",,48.985151,2.257069,,,1,
StopArea:DUA8727607,"FRANCONVILLE LE PLESSIS BOUCHARD",,48.993559,2.234711,,,1,
StopArea:DUA8727608,"MONTIGNY BEAUCHAMP",,49.007588,2.197832,,,1,
StopArea:DUA8727609,"PIERRELAYE",,49.019365,2.153632,,,1,
StopArea:DUA8733798,"GARE DE ST OUEN L'AUMONE LIESSE",,49.033791,2.128023,,,1,
StopArea:DUA8727610,"GARE DE ST OUEN L'AUMONE",,49.04544,2.106192,,,1,
StopArea:DUA8727613,"PONTOISE",,49.04681,2.094921,,,1,
StopArea:DUA8727103,"GARE DE PARIS NORD",,48.880306,2.356579,,,1,
StopArea:DUA8727101,"SAINT-DENIS",,48.935038,2.34646,,,1,
StopArea:DUA8727112,"EPINAY VILLETANEUSE",,48.958049,2.327783,,,1,
StopArea:DUA8727117,"LA BARRE ORMESSON",,48.966701,2.317169,,,1,
StopArea:DUA8727602,"ENGHIEN LES BAINS",,48.972843,2.307013,,,1,
StopArea:DUA8727603,"CHAMP DE COURSES D'ENGHIEN",,48.980035,2.292198,,,1,
