from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA8775859,StopPoint:DUA8738400,2,756
StopPoint:DUA8754702,StopPoint:DUA8754700,2,252
StopPoint:DUA8754700,StopPoint:DUA8754702,2,252
StopPoint:DUA8711300,StopPoint:DUA8727102,2,504
StopPoint:DUA8711300,StopPoint:DUA8727103,2,504
StopPoint:DUA8711300,StopPoint:DUA8727100,2,504
StopPoint:DUA8727102,StopPoint:DUA8711300,2,672
StopPoint:DUA8727102,StopPoint:DUA8727103,2,252
StopPoint:DUA8727102,StopPoint:DUA8727100,2,252
StopPoint:DUA8727102,StopPoint:DUA8728187,2,371
StopPoint:DUA8727103,StopPoint:DUA8711300,2,672
StopPoint:DUA8727103,StopPoint:DUA8727102,2,252
StopPoint:DUA8727103,StopPoint:DUA8727100,2,252
StopPoint:DUA8727103,StopPoint:DUA8728187,2,394
StopPoint:DUA8727100,StopPoint:DUA8711300,2,672
StopPoint:DUA8727100,StopPoint:DUA8727102,2,252
StopPoint:DUA8727100,StopPoint:DUA8727103,2,252
StopPoint:DUA8727100,StopPoint:DUA8728187,2,398
StopPoint:DUA8728189,StopPoint:DUA8738400,2,570
StopPoint:DUA8739306,StopPoint:DUA76:545,2,336
StopPoint:DUA8739306,StopPoint:DUA76:546,2,336
StopPoint:DUA76:545,StopPoint:DUA8739306,2,336
StopPoint:DUA76:545,StopPoint:DUA76:546,2,252
StopPoint:DUA76:546,StopPoint:DUA8739306,2,336
StopPoint:DUA76:546,StopPoint:DUA76:545,2,252
StopPoint:DUA8728187,StopPoint:DUA8727102,2,388
StopPoint:DUA8728187,StopPoint:DUA8727103,2,335
StopPoint:DUA8728187,StopPoint:DUA8727100,2,400
StopPoint:DUA8768600,StopPoint:DUA8775858,2,252
StopPoint:DUA8768600,StopPoint:DUA8768603,2,252
StopPoint:DUA8775858,StopPoint:DUA8768600,2,252
StopPoint:DUA8775858,StopPoint:DUA8768603,2,252
StopPoint:DUA8768603,StopPoint:DUA8768600,2,252
StopPoint:DUA8768603,StopPoint:DUA8775858,2,252
StopPoint:DUA8738400,StopPoint:DUA8775859,2,716
StopPoint:DUA8738400,StopPoint:DUA8728189,2,358
StopPoint:DUA76:581,StopPoint:DUA76:582,2,252
StopPoint:DUA76:581,StopPoint:DUA8739332,2,336
StopPoint:DUA76:582,StopPoint:DUA76:581,2,252
StopPoint:DUA76:582,StopPoint:DUA8739332,2,336
StopPoint:DUA8739332,StopPoint:DUA76:581,2,336
StopPoint:DUA8739332,StopPoint:DUA76:582,2,336
StopPoint:DUA8778543,StopPoint:DUA8754731,2,252
StopPoint:DUA8754731,StopPoint:DUA8778543,2,252
StopPoint:DUA8711630,StopPoint:DUA76:85,2,336
StopPoint:DUA8711630,StopPoint:DUA76:86,2,336
StopPoint:DUA76:85,StopPoint:DUA8711630,2,336
StopPoint:DUA76:85,StopPoint:DUA76:86,2,252
StopPoint:DUA76:86,StopPoint:DUA8711630,2,336
StopPoint:DUA76:86,StopPoint:DUA76:85,2,252
StopPoint:DUA76:47,StopPoint:DUA76:48,2,252
StopPoint:DUA76:47,StopPoint:DUA8711601,2,336
StopPoint:DUA76:48,StopPoint:DUA76:47,2,252
StopPoint:DUA76:48,StopPoint:DUA8711601,2,336
StopPoint:DUA8711601,StopPoint:DUA76:47,2,336
StopPoint:DUA8711601,StopPoint:DUA76:48,2,336
StopPoint:DUA76:78,StopPoint:DUA76:77,2,252
StopPoint:DUA76:78,StopPoint:DUA8711626,2,336
StopPoint:DUA76:77,StopPoint:DUA76:78,2,252
StopPoint:DUA76:77,StopPoint:DUA8711626,2,336
StopPoint:DUA8711626,StopPoint:DUA76:78,2,336
StopPoint:DUA8711626,StopPoint:DUA76:77,2,336
StopPoint:DUA76:73,StopPoint:DUA76:74,2,252
StopPoint:DUA76:73,StopPoint:DUA8711622,2,336
StopPoint:DUA76:74,StopPoint:DUA76:73,2,252
StopPoint:DUA76:74,StopPoint:DUA8711622,2,336
StopPoint:DUA8711622,StopPoint:DUA76:73,2,336
StopPoint:DUA8711622,StopPoint:DUA76:74,2,336
StopPoint:DUA76:76,StopPoint:DUA76:75,2,252
StopPoint:DUA76:76,StopPoint:DUA8711624,2,336
StopPoint:DUA76:75,StopPoint:DUA76:76,2,252
StopPoint:DUA76:75,StopPoint:DUA8711624,2,336
StopPoint:DUA8711624,StopPoint:DUA76:76,2,336
StopPoint:DUA8711624,StopPoint:DUA76:75,2,336
StopPoint:DUA76:82,StopPoint:DUA76:81,2,252
StopPoint:DUA76:82,StopPoint:DUA8711628,2,336
StopPoint:DUA76:81,StopPoint:DUA76:82,2,252
StopPoint:DUA76:81,StopPoint:DUA8711628,2,336
StopPoint:DUA8711628,StopPoint:DUA76:82,2,336
StopPoint:DUA8711628,StopPoint:DUA76:81,2,336
StopPoint:DUA76:50,StopPoint:DUA76:49,2,252
StopPoint:DUA76:50,StopPoint:DUA8711602,2,336
StopPoint:DUA76:49,StopPoint:DUA76:50,2,252
StopPoint:DUA76:49,StopPoint:DUA8711602,2,336
StopPoint:DUA8711602,StopPoint:DUA76:50,2,336
StopPoint:DUA8711602,StopPoint:DUA76:49,2,336
StopPoint:DUA8711627,StopPoint:DUA76:80,2,336
StopPoint:DUA8711627,StopPoint:DUA76:79,2,336
StopPoint:DUA76:80,StopPoint:DUA8711627,2,336
StopPoint:DUA76:80,StopPoint:DUA76:79,2,252
StopPoint:DUA76:79,StopPoint:DUA8711627,2,336
StopPoint:DUA76:79,StopPoint:DUA76:80,2,252
StopPoint:DUA8711604,StopPoint:DUA76:53,2,336
StopPoint:DUA8711604,StopPoint:DUA76:54,2,336
StopPoint:DUA76:53,StopPoint:DUA8711604,2,336
StopPoint:DUA76:53,StopPoint:DUA76:54,2,252
StopPoint:DUA76:54,StopPoint:DUA8711604,2,336
StopPoint:DUA76:54,StopPoint:DUA76:53,2,252
StopPoint:DUA76:51,StopPoint:DUA76:52,2,252
StopPoint:DUA76:51,StopPoint:DUA8711603,2,336
StopPoint:DUA76:52,StopPoint:DUA76:51,2,252
StopPoint:DUA76:52,StopPoint:DUA8711603,2,336
StopPoint:DUA8711603,StopPoint:DUA76:51,2,336
StopPoint:DUA8711603,StopPoint:DUA76:52,2,336
StopPoint:DUA76:72,StopPoint:DUA76:71,2,252
StopPoint:DUA76:72,StopPoint:DUA8711621,2,336
StopPoint:DUA76:71,StopPoint:DUA76:72,2,252
StopPoint:DUA76:71,StopPoint:DUA8711621,2,336
StopPoint:DUA8711621,StopPoint:DUA76:72,2,336
StopPoint:DUA8711621,StopPoint:DUA76:71,2,336
StopPoint:DUA8741071,StopPoint:DUA8741069,2,543
StopPoint:DUA8741069,StopPoint:DUA8741071,2,441
StopPoint:DUA8739363,StopPoint:DUA76:621,2,336
StopPoint:DUA8739363,StopPoint:DUA76:622,2,336
StopPoint:DUA76:621,StopPoint:DUA8739363,2,336
StopPoint:DUA76:621,StopPoint:DUA76:622,2,252
StopPoint:DUA76:622,StopPoint:DUA8739363,2,336
StopPoint:DUA76:622,StopPoint:DUA76:621,2,252
StopPoint:DUA76:625,StopPoint:DUA76:626,2,252
StopPoint:DUA76:625,StopPoint:DUA8739365,2,336
StopPoint:DUA76:626,StopPoint:DUA76:625,2,252
StopPoint:DUA76:626,StopPoint:DUA8739365,2,336
StopPoint:DUA8739365,StopPoint:DUA76:625,2,336
StopPoint:DUA8739365,StopPoint:DUA76:626,2,336
StopPoint:DUA76:703,StopPoint:DUA76:704,2,252
StopPoint:DUA76:703,StopPoint:DUA8754524,2,336
StopPoint:DUA76:704,StopPoint:DUA76:703,2,252
StopPoint:DUA76:704,StopPoint:DUA8754524,2,336
StopPoint:DUA8754524,StopPoint:DUA76:703,2,336
StopPoint:DUA8754524,StopPoint:DUA76:704,2,336
StopPoint:DUA76:623,StopPoint:DUA76:624,2,252
StopPoint:DUA76:623,StopPoint:DUA8739364,2,336
StopPoint:DUA76:624,StopPoint:DUA76:623,2,252
StopPoint:DUA76:624,StopPoint:DUA8739364,2,336
StopPoint:DUA8739364,StopPoint:DUA76:623,2,336
StopPoint:DUA8739364,StopPoint:DUA76:624,2,336
StopPoint:DUA76:617,StopPoint:DUA76:618,2,252
StopPoint:DUA76:617,StopPoint:DUA8739361,2,336
StopPoint:DUA76:618,StopPoint:DUA76:617,2,252
StopPoint:DUA76:618,StopPoint:DUA8739361,2,336
StopPoint:DUA8739361,StopPoint:DUA76:617,2,336
StopPoint:DUA8739361,StopPoint:DUA76:618,2,336
StopPoint:DUA76:615,StopPoint:DUA76:616,2,252
StopPoint:DUA76:615,StopPoint:DUA8739357,2,336
StopPoint:DUA76:615,StopPoint:DUA8775879,2,336
StopPoint:DUA76:616,StopPoint:DUA76:615,2,252
StopPoint:DUA76:616,StopPoint:DUA8739357,2,336
StopPoint:DUA76:616,StopPoint:DUA8775879,2,336
StopPoint:DUA8739357,StopPoint:DUA76:615,2,336
StopPoint:DUA8739357,StopPoint:DUA76:616,2,336
StopPoint:DUA8739357,StopPoint:DUA8775879,2,252
StopPoint:DUA8775879,StopPoint:DUA76:615,2,336
StopPoint:DUA8775879,StopPoint:DUA76:616,2,336
StopPoint:DUA8775879,StopPoint:DUA8739357,2,258
StopPoint:DUA8775878,StopPoint:DUA8738328,2,420
StopPoint:DUA8738328,StopPoint:DUA8775878,2,420
StopPoint:DUA76:701,StopPoint:DUA76:702,2,252
StopPoint:DUA76:701,StopPoint:DUA8754523,2,336
StopPoint:DUA76:702,StopPoint:DUA76:701,2,252
StopPoint:DUA76:702,StopPoint:DUA8754523,2,336
StopPoint:DUA8754523,StopPoint:DUA76:701,2,336
StopPoint:DUA8754523,StopPoint:DUA76:702,2,336
StopPoint:DUA8738107,StopPoint:DUA76:349,2,336
StopPoint:DUA8738107,StopPoint:DUA76:350,2,336
StopPoint:DUA76:349,StopPoint:DUA8738107,2,336
StopPoint:DUA76:349,StopPoint:DUA76:350,2,252
StopPoint:DUA76:350,StopPoint:DUA8738107,2,336
StopPoint:DUA76:350,StopPoint:DUA76:349,2,252
StopPoint:DUA8738108,StopPoint:DUA76:352,2,336
StopPoint:DUA8738108,StopPoint:DUA76:351,2,336
StopPoint:DUA76:352,StopPoint:DUA8738108,2,336
StopPoint:DUA76:352,StopPoint:DUA76:351,2,252
StopPoint:DUA76:351,StopPoint:DUA8738108,2,336
StopPoint:DUA76:351,StopPoint:DUA76:352,2,252
StopPoint:DUA76:353,StopPoint:DUA76:354,2,252
StopPoint:DUA76:353,StopPoint:DUA8738109,2,336
StopPoint:DUA76:354,StopPoint:DUA76:353,2,252
StopPoint:DUA76:354,StopPoint:DUA8738109,2,336
StopPoint:DUA8738109,StopPoint:DUA76:353,2,336
StopPoint:DUA8738109,StopPoint:DUA76:354,2,336
StopPoint:DUA8738200,StopPoint:DUA76:445,2,336
StopPoint:DUA8738200,StopPoint:DUA76:446,2,336
StopPoint:DUA76:445,StopPoint:DUA8738200,2,336
StopPoint:DUA76:445,StopPoint:DUA76:446,2,252
StopPoint:DUA76:446,StopPoint:DUA8738200,2,336
StopPoint:DUA76:446,StopPoint:DUA76:445,2,252
StopPoint:DUA8738221,StopPoint:DUA8775801,2,252
StopPoint:DUA8775801,StopPoint:DUA8738221,2,252
StopPoint:DUA76:548,StopPoint:DUA76:547,2,252
StopPoint:DUA76:548,StopPoint:DUA8739307,2,336
StopPoint:DUA76:547,StopPoint:DUA76:548,2,252
StopPoint:DUA76:547,StopPoint:DUA8739307,2,336
StopPoint:DUA8739307,StopPoint:DUA76:548,2,336
StopPoint:DUA8739307,StopPoint:DUA76:547,2,336
StopPoint:DUA76:577,StopPoint:DUA76:578,2,252
StopPoint:DUA76:577,StopPoint:DUA8739330,2,336
StopPoint:DUA76:578,StopPoint:DUA76:577,2,252
StopPoint:DUA76:578,StopPoint:DUA8739330,2,336
StopPoint:DUA8739330,StopPoint:DUA76:577,2,336
StopPoint:DUA8739330,StopPoint:DUA76:578,2,336
StopPoint:DUA8739311,StopPoint:DUA76:553,2,336
StopPoint:DUA8739311,StopPoint:DUA76:554,2,336
StopPoint:DUA76:553,StopPoint:DUA8739311,2,336
StopPoint:DUA76:553,StopPoint:DUA76:554,2,252
StopPoint:DUA76:554,StopPoint:DUA8739311,2,336
StopPoint:DUA76:554,StopPoint:DUA76:553,2,252
StopPoint:DUA76:550,StopPoint:DUA76:549,2,252
StopPoint:DUA76:550,StopPoint:DUA8739308,2,336
StopPoint:DUA76:549,StopPoint:DUA76:550,2,252
StopPoint:DUA76:549,StopPoint:DUA8739308,2,336
StopPoint:DUA8739308,StopPoint:DUA76:550,2,336
StopPoint:DUA8739308,StopPoint:DUA76:549,2,336
StopPoint:DUA8738631,StopPoint:DUA8775803,2,252
StopPoint:DUA8775803,StopPoint:DUA8738631,2,252
StopPoint:DUA8727141,StopPoint:DUA76:170,2,336
StopPoint:DUA8727141,StopPoint:DUA76:169,2,336
StopPoint:DUA76:170,StopPoint:DUA8727141,2,336
StopPoint:DUA76:170,StopPoint:DUA76:169,2,252
StopPoint:DUA76:169,StopPoint:DUA8727141,2,336
StopPoint:DUA76:169,StopPoint:DUA76:170,2,252
StopPoint:DUA8711340,StopPoint:DUA76:12,2,336
StopPoint:DUA8711340,StopPoint:DUA76:11,2,336
StopPoint:DUA76:12,StopPoint:DUA8711340,2,336
StopPoint:DUA76:12,StopPoint:DUA76:11,2,252
StopPoint:DUA76:11,StopPoint:DUA8711340,2,336
StopPoint:DUA76:11,StopPoint:DUA76:12,2,252
StopPoint:DUA76:34,StopPoint:DUA76:33,2,252
StopPoint:DUA76:34,StopPoint:DUA8711384,2,336
StopPoint:DUA76:33,StopPoint:DUA76:34,2,252
StopPoint:DUA76:33,StopPoint:DUA8711384,2,336
StopPoint:DUA8711384,StopPoint:DUA76:34,2,336
StopPoint:DUA8711384,StopPoint:DUA76:33,2,336
StopPoint:DUA76:1047,StopPoint:DUA76:1048,2,252
StopPoint:DUA76:1047,StopPoint:DUA8798870,2,336
StopPoint:DUA76:1048,StopPoint:DUA76:1047,2,252
StopPoint:DUA76:1048,StopPoint:DUA8798870,2,336
StopPoint:DUA8798870,StopPoint:DUA76:1047,2,336
StopPoint:DUA8798870,StopPoint:DUA76:1048,2,336
StopPoint:DUA8769735,StopPoint:DUA8727139,2,336
StopPoint:DUA8727139,StopPoint:DUA8769735,2,336
StopPoint:DUA8727114,StopPoint:DUA8769729,2,336
StopPoint:DUA8769729,StopPoint:DUA8727114,2,336
StopPoint:DUA8727112,StopPoint:DUA8769730,2,336
StopPoint:DUA8727112,StopPoint:DUA76:151,2,336
StopPoint:DUA8727112,StopPoint:DUA76:152,2,336
StopPoint:DUA8769730,StopPoint:DUA8727112,2,336
StopPoint:DUA8769730,StopPoint:DUA76:151,2,229
StopPoint:DUA8769730,StopPoint:DUA76:152,2,229
StopPoint:DUA76:151,StopPoint:DUA8727112,2,336
StopPoint:DUA76:151,StopPoint:DUA8769730,2,203
StopPoint:DUA76:151,StopPoint:DUA76:152,2,252
StopPoint:DUA76:152,StopPoint:DUA8727112,2,336
StopPoint:DUA76:152,StopPoint:DUA8769730,2,219
StopPoint:DUA76:152,StopPoint:DUA76:151,2,252
StopPoint:DUA8711386,StopPoint:DUA76:38,2,336
StopPoint:DUA8711386,StopPoint:DUA76:37,2,336
StopPoint:DUA76:38,StopPoint:DUA8711386,2,336
StopPoint:DUA76:38,StopPoint:DUA76:37,2,252
StopPoint:DUA76:37,StopPoint:DUA8711386,2,336
StopPoint:DUA76:37,StopPoint:DUA76:38,2,252
StopPoint:DUA8711388,StopPoint:DUA76:42,2,336
StopPoint:DUA8711388,StopPoint:DUA76:41,2,336
StopPoint:DUA76:42,StopPoint:DUA8711388,2,336
StopPoint:DUA76:42,StopPoint:DUA76:41,2,252
StopPoint:DUA76:41,StopPoint:DUA8711388,2,336
StopPoint:DUA76:41,StopPoint:DUA76:42,2,252
StopPoint:DUA8798871,StopPoint:DUA76:1050,2,336
StopPoint:DUA8798871,StopPoint:DUA76:1049,2,336
StopPoint:DUA76:1050,StopPoint:DUA8798871,2,336
StopPoint:DUA76:1050,StopPoint:DUA76:1049,2,252
StopPoint:DUA76:1049,StopPoint:DUA8798871,2,336
StopPoint:DUA76:1049,StopPoint:DUA76:1050,2,252
StopPoint:DUA76:32,StopPoint:DUA76:31,2,252
StopPoint:DUA76:32,StopPoint:DUA8711380,2,336
StopPoint:DUA76:31,StopPoint:DUA76:32,2,252
StopPoint:DUA76:31,StopPoint:DUA8711380,2,336
StopPoint:DUA8711380,StopPoint:DUA76:32,2,336
StopPoint:DUA8711380,StopPoint:DUA76:31,2,336
StopPoint:DUA8711385,StopPoint:DUA76:35,2,336
StopPoint:DUA8711385,StopPoint:DUA76:36,2,336
StopPoint:DUA76:35,StopPoint:DUA8711385,2,336
StopPoint:DUA76:35,StopPoint:DUA76:36,2,252
StopPoint:DUA76:36,StopPoint:DUA8711385,2,336
StopPoint:DUA76:36,StopPoint:DUA76:35,2,252
StopPoint:DUA8769732,StopPoint:DUA8727116,2,672
StopPoint:DUA8727116,StopPoint:DUA8769732,2,672
StopPoint:DUA8711369,StopPoint:DUA8711370,2,683
StopPoint:DUA8711370,StopPoint:DUA8711369,2,2883
StopPoint:DUA76:145,StopPoint:DUA76:146,2,252
StopPoint:DUA76:145,StopPoint:DUA8727101,2,336
StopPoint:DUA76:146,StopPoint:DUA76:145,2,252
StopPoint:DUA76:146,StopPoint:DUA8727101,2,336
StopPoint:DUA8727101,StopPoint:DUA76:145,2,336
StopPoint:DUA8727101,StopPoint:DUA76:146,2,336
StopPoint:DUA76:140,StopPoint:DUA76:139,2,252
StopPoint:DUA76:140,StopPoint:DUA8716478,2,336
StopPoint:DUA76:139,StopPoint:DUA76:140,2,252
StopPoint:DUA76:139,StopPoint:DUA8716478,2,336
StopPoint:DUA8716478,StopPoint:DUA76:140,2,336
StopPoint:DUA8716478,StopPoint:DUA76:139,2,336
StopPoint:DUA76:43,StopPoint:DUA76:44,2,252
