route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA800853021,9309,DUASN124687F05002-1_442440,"POVA",0,
DUA800853021,9310,DUASN124699F02001-1_442441,"POVA",0,
DUA800853021,9310,DUASN124677F02001-1_442442,"POVA",0,
DUA800853021,9310,DUASN124679F03001-1_442443,"POVA",0,
DUA800853021,9309,DUASN124677F02002-1_442444,"POVA",0,
DUA800853021,9311,DUASN124697F02003-1_442445,"POTA",0,
DUA800853021,9312,DUASN124691F02001-1_442446,"POVA",0,
DUA800853021,9312,DUASN124687F06001-1_442447,"POVA",0,
DUA800853021,8514,DUASN124703F03001-1_442448,"POTA",0,
DUA800853021,9311,DUASN124693F09002-1_442449,"POTA",0,
DUA800853021,9309,DUASN124699F02002-1_442450,"POVA",0,
DUA800853021,9311,DUASN124695F02002-1_442451,"POTA",0,
DUA800853021,9312,DUASN124689F05001-1_442452,"POVA",0,
DUA800853021,8514,DUASN124705F01001-1_442453,"POTA",0,
DUA800853021,8514,DUASN124701F01001-1_442454,"POTA",0,
DUA800853021,9310,DUASN124683F03001-1_442455,"POVA",0,
DUA800853021,9309,DUASN124679F03002-1_442456,"POVA",0,
DUA800853021,9310,DUASN124685F01001-1_442457,"POVA",0,
DUA800853021,9309,DUASN124685F01002-1_442458,"POVA",0,
DUA800853021,8737,DUASN124691F06001-1_442459,"POVA",0,
DUA800853021,9309,DUASN124689F05002-1_442460,"POVA",0,
DUA800853021,9310,DUASN124681F03001-1_442461,"POVA",0,
DUA800853021,9309,DUASN124681F03002-1_442462,"POVA",0,
DUA800853021,9309,DUASN124675F02002-1_442463,"POVA",0,
DUA800853021,9310,DUASN124625F02001-1_442464,"POVA",0,
DUA800853021,9310,DUASN124645F02001-1_442465,"POVA",0,
DUA800853021,9309,DUASN124605F03002-1_442466,"POVA",0,
DUA800853021,9310,DUASN124605F03001-1_442467,"POVA",0,
DUA800853021,9309,DUASN124645F02002-1_442468,"POVA",0,
DUA800853021,9310,DUASN124663F02001-1_442469,"POVA",0,
DUA800853021,9309,DUASN124635F02002-1_442470,"POVA",0,
